age,job,marital,education,default,balance,housing,loan,day_of_week,month,duration,campaign,pdays,previous,poutcome,contact,y
26,technician,single,secondary,no,-213,no,yes,21,jul,418,5,-1,0,,SMS callbacks,no
36,management,married,primary,no,392,no,no,6,feb,148,2,-1,0,,Lead followup,no
51,technician,divorced,secondary,yes,-113,no,yes,22,jul,314,4,-1,0,,Lead followup,no
30,blue-collar,married,primary,no,2581,no,no,12,may,221,2,-1,0,,cellular,no
31,services,single,tertiary,no,620,no,no,2,feb,189,1,-1,0,,cellular,no
28,blue-collar,single,primary,no,643,yes,no,15,may,297,1,-1,0,,cellular,no
41,management,married,tertiary,no,298,no,no,4,may,63,3,272,1,other,Lead followup,yes
39,blue-collar,married,secondary,no,1044,yes,no,2,feb,158,1,-1,0,,Lead followup,no
33,blue-collar,married,primary,no,415,yes,no,5,may,316,1,337,4,success,Cross selling,no
32,technician,single,tertiary,no,723,no,no,28,aug,68,27,-1,0,,Festive offers,no
35,blue-collar,divorced,primary,no,0,no,no,1,jul,55,1,-1,0,,Welcome calls,no
55,retired,married,secondary,no,1279,yes,no,13,may,446,3,357,8,other,Voice blasts,no
54,technician,married,secondary,no,65,no,no,24,feb,87,1,91,3,failure,Loan offers,yes
30,management,single,tertiary,no,1636,no,no,6,jun,301,2,-1,0,,Cross selling,no
38,blue-collar,single,secondary,no,-329,yes,no,12,may,86,4,-1,0,,telephone,yes
47,management,married,tertiary,no,122,no,yes,18,jul,73,1,-1,0,,SMS callbacks,yes
26,admin.,single,secondary,no,0,yes,no,18,jul,142,1,-1,0,,SMS callbacks,no
32,self-employed,single,tertiary,no,4024,yes,no,2,jul,150,1,-1,0,,Lead followup,no
43,technician,single,tertiary,no,317,yes,no,18,jul,106,1,-1,0,,telephone,no
49,management,married,secondary,no,367,yes,no,29,may,85,6,-1,0,,Lead followup,no
45,technician,married,secondary,no,1028,yes,no,9,jul,113,1,-1,0,,Welcome calls,no
43,admin.,married,secondary,no,877,yes,no,2,feb,135,1,-1,0,,Festive offers,no
27,admin.,divorced,secondary,no,2,no,yes,3,jul,472,1,-1,0,,cellular,no
31,services,divorced,secondary,no,81,yes,no,16,apr,139,1,-1,0,,cellular,no
31,management,single,tertiary,no,350,no,no,18,aug,471,2,-1,0,,cellular,no
42,management,married,tertiary,no,831,yes,no,14,jul,455,3,-1,0,,Festive offers,no
